Name,Status,Due Date,Tag,Priority,Recurring
Testing Notion AI for 30 days,Done,"September 27, 2025",Project,High,🗓️ Daily
Organize activities,Done,"September 5, 2025",Work,Medium,🗓️ Daily
Pick up truck,Done,"August 20, 2025",,High,➡ Single Task
Review expenses weekly,Done,"August 15, 2025",,High,📅 Weekly
Organize activities,Done,"August 13, 2025",,Medium,🗓️ Daily
Testing Notion AI for 30 days,Done,"August 12, 2025",,High,🗓️ Daily
Start testing Notion AI for 30 days,Done,"July 22, 2025",,High,🗓️ Daily
Review expenses weekly,Done,"April 26, 2025",,High,📅 Weekly
Organize activities,Done,"April 20, 2025",,Medium,🗓️ Daily
Review expenses weekly,Done,"April 18, 2025",,High,📅 Weekly
