Task name,Assignee,Due,Meetings,Priority,Project,Recurring,Resources and Documents,Status,Tags,Time Estimate (hrs)
Task 2,,,,,Revamping Outbound marketing strategy (https://www.notion.so/Revamping-Outbound-marketing-strategy-2a380ff9d4f58107a26edf71f5aa7723?pvs=21),No,,Not Started,,
Task 1,,,,,New clinic rehab (https://www.notion.so/New-clinic-rehab-2a380ff9d4f581f2b962ec425a45acf4?pvs=21),No,,Not Started,,
Task 4,,,,,Revamping Outbound marketing strategy (https://www.notion.so/Revamping-Outbound-marketing-strategy-2a380ff9d4f58107a26edf71f5aa7723?pvs=21),No,,Not Started,,
Plan fall festival event,Daniel x Systemify,,July All Hands Meetings (https://www.notion.so/July-All-Hands-Meetings-2a380ff9d4f581e89131e52fa8118e62?pvs=21),,Create Social Media Calendar for Q3 (https://www.notion.so/Create-Social-Media-Calendar-for-Q3-2a380ff9d4f5812f84e7c9eea72e6011?pvs=21),No,,Not Started,,
Creating IG post,Daniel x Systemify,"July 18, 2023",,,Create Social Media Calendar for Q3 (https://www.notion.so/Create-Social-Media-Calendar-for-Q3-2a380ff9d4f5812f84e7c9eea72e6011?pvs=21),No,,Done,,
Task 3,,,,,New clinic rehab (https://www.notion.so/New-clinic-rehab-2a380ff9d4f581f2b962ec425a45acf4?pvs=21),No,,In Progress,,
Task X,Daniel x Systemify,"July 24, 2023",,,,No,,Not Started,,
Task 1,,,,,Improving our customer retention rate (https://www.notion.so/Improving-our-customer-retention-rate-2a380ff9d4f581b9b109faf5056d7170?pvs=21),No,,Not Started,,
Task 3,,,,,Improving our customer retention rate (https://www.notion.so/Improving-our-customer-retention-rate-2a380ff9d4f581b9b109faf5056d7170?pvs=21),No,,Done,,
Task 1,,,,,Revamping Outbound marketing strategy (https://www.notion.so/Revamping-Outbound-marketing-strategy-2a380ff9d4f58107a26edf71f5aa7723?pvs=21),No,,Not Started,,
Task 3,,,,,Revamping Outbound marketing strategy (https://www.notion.so/Revamping-Outbound-marketing-strategy-2a380ff9d4f58107a26edf71f5aa7723?pvs=21),No,,Not Started,,
Task 5,,,,,Revamping Outbound marketing strategy (https://www.notion.so/Revamping-Outbound-marketing-strategy-2a380ff9d4f58107a26edf71f5aa7723?pvs=21),No,,Done,,
Creating FB post,Daniel x Systemify,"July 20, 2023",,,Create Social Media Calendar for Q3 (https://www.notion.so/Create-Social-Media-Calendar-for-Q3-2a380ff9d4f5812f84e7c9eea72e6011?pvs=21),No,,Not Started,,
Task 2,,,,,Improving our customer retention rate (https://www.notion.so/Improving-our-customer-retention-rate-2a380ff9d4f581b9b109faf5056d7170?pvs=21),No,,Not Started,,
Task 2,,,,,New clinic rehab (https://www.notion.so/New-clinic-rehab-2a380ff9d4f581f2b962ec425a45acf4?pvs=21),No,,Done,,
Task 4,,,,,Improving our customer retention rate (https://www.notion.so/Improving-our-customer-retention-rate-2a380ff9d4f581b9b109faf5056d7170?pvs=21),No,,Not Started,,
