Name,Created time,Due Date,Last edited time,Localization Key,Next Due Date,Notes,Parent Task,Past Due Date,Priority,Recurring,Recurring Days,Recurring Interval,Recurring Unit,Status,Stop Recurring,Tag,Task History,To Deadline
Join book club,"November 9, 2025 4:05 PM","November 6, 2025","November 9, 2025 4:05 PM","Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Day(s),Week(s),Month(s),Year(s),Month(s) on the Last Day,Month(s) on the First Weekday,Month(s) on the Last Weekday,To Do,Doing,Done",,,,Yes,Low,➡ Single Task,,0,,To-Do,,Events,,❗ Overdue by 3 days
Create finance tracker,"November 9, 2025 4:05 PM","November 3, 2025","November 9, 2025 4:05 PM","Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Day(s),Week(s),Month(s),Year(s),Month(s) on the Last Day,Month(s) on the First Weekday,Month(s) on the Last Weekday,To Do,Doing,Done",,,,Yes,High,➡ Single Task,,,,To-Do,,Finance,,❗ Overdue by 6 days
Review expenses weekly,"November 9, 2025 4:05 PM","April 18, 2025","November 9, 2025 4:05 PM","Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Day(s),Week(s),Month(s),Year(s),Month(s) on the Last Day,Month(s) on the First Weekday,Month(s) on the Last Weekday,To Do,Doing,Done","November 14, 2025",,"Review expenses weekly (Tasks/Review%20expenses%20weekly%202a680ff9d4f5812e96a1ec5f0645b869.md), Review expenses weekly (Tasks/Review%20expenses%20weekly%202a680ff9d4f581ab8415e1e6c0fffd61.md), Review expenses weekly (Tasks/Review%20expenses%20weekly%202a680ff9d4f581be85a7fd793b833ea8.md), Review expenses weekly (Tasks/Review%20expenses%20weekly%202a680ff9d4f581c89387c3a66ce14025.md)",No,High,📅 Weekly,,1,Week(s),Done,,,,✅ Completed
Organize activities,"November 9, 2025 4:05 PM","April 20, 2025","November 9, 2025 4:05 PM","Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Day(s),Week(s),Month(s),Year(s),Month(s) on the Last Day,Month(s) on the First Weekday,Month(s) on the Last Weekday,To Do,Doing,Done","November 10, 2025",,"Organize activities (Tasks/Organize%20activities%202a680ff9d4f581aeb379c4a6f7e0373b.md), Organize activities (Tasks/Organize%20activities%202a680ff9d4f5810daeeaee6bd80a119d.md), Organize activities (Tasks/Organize%20activities%202a680ff9d4f581988601ec09430f6c37.md)",No,Medium,🗓️ Daily,,1,Day(s),Done,,,,✅ Completed
Pick up truck,"November 9, 2025 4:05 PM","August 20, 2025","November 9, 2025 4:05 PM","Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Day(s),Week(s),Month(s),Year(s),Month(s) on the Last Day,Month(s) on the First Weekday,Month(s) on the Last Weekday,To Do,Doing,Done",,,,No,High,➡ Single Task,,,,Done,,,,✅ Completed
Review expenses weekly,"November 9, 2025 4:05 PM","April 26, 2025","November 9, 2025 4:05 PM","Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Day(s),Week(s),Month(s),Year(s),Month(s) on the Last Day,Month(s) on the First Weekday,Month(s) on the Last Weekday,To Do,Doing,Done","November 15, 2025",,"Review expenses weekly (Tasks/Review%20expenses%20weekly%202a680ff9d4f581ab8415e1e6c0fffd61.md), Review expenses weekly (Tasks/Review%20expenses%20weekly%202a680ff9d4f581be85a7fd793b833ea8.md), Review expenses weekly (Tasks/Review%20expenses%20weekly%202a680ff9d4f581c89387c3a66ce14025.md)",No,High,📅 Weekly,,1,Week(s),Done,,,Review expenses weekly (Tasks/Review%20expenses%20weekly%202a680ff9d4f581c98d65d97300e3a4f0.md),✅ Completed
Pick up package,"November 9, 2025 4:05 PM","November 9, 2025","November 9, 2025 4:05 PM","Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Day(s),Week(s),Month(s),Year(s),Month(s) on the Last Day,Month(s) on the First Weekday,Month(s) on the Last Weekday,To Do,Doing,Done",,,,No,Medium,➡ Single Task,,,,Doing,,Personal,,📌 Do Today
Review expenses weekly,"November 9, 2025 4:05 PM","November 5, 2025","November 9, 2025 4:05 PM","Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Day(s),Week(s),Month(s),Year(s),Month(s) on the Last Day,Month(s) on the First Weekday,Month(s) on the Last Weekday,To Do,Doing,Done","November 12, 2025",,"Review expenses weekly (Tasks/Review%20expenses%20weekly%202a680ff9d4f581be85a7fd793b833ea8.md), Review expenses weekly (Tasks/Review%20expenses%20weekly%202a680ff9d4f581c89387c3a66ce14025.md)",Yes,High,📅 Weekly,,1,Week(s),To-Do,,Finance,"Review expenses weekly (Tasks/Review%20expenses%20weekly%202a680ff9d4f581c98d65d97300e3a4f0.md), Review expenses weekly (Tasks/Review%20expenses%20weekly%202a680ff9d4f5812e96a1ec5f0645b869.md)",❗ Overdue by 4 days
Organize activities,"November 9, 2025 4:05 PM","September 5, 2025","November 9, 2025 4:05 PM","Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Day(s),Week(s),Month(s),Year(s),Month(s) on the Last Day,Month(s) on the First Weekday,Month(s) on the Last Weekday,To Do,Doing,Done","November 10, 2025",,"Organize activities (Tasks/Organize%20activities%202a680ff9d4f5810daeeaee6bd80a119d.md), Organize activities (Tasks/Organize%20activities%202a680ff9d4f581988601ec09430f6c37.md)",No,Medium,🗓️ Daily,,1,Day(s),Done,,Work,Organize activities (Tasks/Organize%20activities%202a680ff9d4f581b8887acc772e5bba3d.md),✅ Completed
Organize activities,"November 9, 2025 4:05 PM","August 13, 2025","November 9, 2025 4:05 PM","Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Day(s),Week(s),Month(s),Year(s),Month(s) on the Last Day,Month(s) on the First Weekday,Month(s) on the Last Weekday,To Do,Doing,Done","November 10, 2025",,,No,Medium,🗓️ Daily,,1,Day(s),Done,,,"Organize activities (Tasks/Organize%20activities%202a680ff9d4f581b8887acc772e5bba3d.md), Organize activities (Tasks/Organize%20activities%202a680ff9d4f581aeb379c4a6f7e0373b.md)",✅ Completed
